# 6 Apps + Factory
# Name,   Type, SubType,    Offset,     Size
nvs,      data, nvs,        0x9000,   0x5000
otadata,  data, ota,        0xe000,   0x2000
ota_0,    0,    ota_0,     0x10000, 0x200000
ota_1,    0,    ota_1,    0x210000, 0x200000
ota_2,    0,    ota_2,    0x410000, 0x200000
ota_3,    0,    ota_3,    0x610000, 0x200000
ota_4,    0,    ota_4,    0x810000, 0x200000
ota_5,    0,    ota_5,    0xA10000, 0x200000
firmware, app,  factory,  0xC10000, 0x0F0000
spiffs,   data, spiffs,   0xD00000, 0x2F0000
coredump, data, coredump, 0xFF0000,  0x10000

